	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
182	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
183	26.5	12.8	34		4.10791588			3.13
184	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
185	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
186	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
187	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
188	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
189	26.8	18	34	0.60610945	4.21971346			0.3
190	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
191	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
192	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
193	25.5	18.8	34	0.14743555	2.76116774			1.851
194	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
195	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
196	17.8		34	0.27492393	4.21989787	0.05520231		2.847
197			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
198	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
199	21.3	17.8	34		8.44858475		1.24735746	1.601
200	23	18	34		7.18331736	0.07581914	0.88218234	1.54
201	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
202	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
203	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
204	27.5	20		0.67201408	8.38006167		1.26698903	0.707
205	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
206	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
207	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
208	24.5	15.3	34		9.81178629			2.988
209	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
210	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
211	22	16	34		3.62048097			3.225
212	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
213	18.3	16	34		2.1538272		1.26792339	0.717
214	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
215	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
216	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
217	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
218	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
219	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
220	17	16.5	34		2.47836526			2.902
221	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
222	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
223								
224	19.5	15.6	34		368.516.943		0.39649923	1.56
225	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
226	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
227	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
228	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
229	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
230	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
231								
232	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
233	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
234								
235	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
236	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
237	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
238	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
239	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
240	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
241	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
242	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
243	27	17.5	34					2.856
244	21	20	33					1.949
245	26	17	34					1.594
246	29	20	34					1.23
247	24	17	34					0.83
248	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
249	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
250	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
251	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
252	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
253	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
254	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
255	26.8	18	34	0.60610945	4.21971346			0.3
256	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
257	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
258	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
259	25.5	18.8	34	0.14743555	2.76116774			1.851
260	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
261	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
262			34		3.02969798		1.24992589	2.996
263	17.8		34	0.27492393	4.21989787	0.05520231		2.847
264			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
265	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
266	21.3	17.8	34		8.44858475		1.24735746	1.601
267	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
268	27.5	20		0.67201408	8.38006167		1.26698903	0.707
269	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
270	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
271	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
272	18.3	16	34		2.1538272		1.26792339	0.717
273	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
274	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
275	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
276	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
277	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
278	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
279	17	16.5	34		2.47836526			2.902
280	16.8	16.3	35		4.55118337		0.80323694	2.907
281	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
282	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
283								
284	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
285	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
286	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
287	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
288	27	17.5	34					2.856
289								2.605
290	21	20	33					1.949
291	26	17	34					1.594
292	29	20	34					1.23
293	23	15	34					1.118
294	24	17	34					0.83
295	23	17.5	34					0.609
296		19	33					0.46
297	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
298	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
299	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
300	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
301	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
302	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
303	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
304	26.5	12.8	34		4.10791588			3.13
305	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
306	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
307	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
308	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
309	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
310	26.8	18	34	0.60610945	4.21971346			0.3
311	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
312	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
313	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
314	25.5	18.8	34	0.14743555	2.76116774			1.851
315	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
316	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
317			34		3.02969798		1.24992589	2.996
318	17.8		34	0.27492393	4.21989787	0.05520231		2.847
319			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
320	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
321	21.3	17.8	34		8.44858475		1.24735746	1.601
322	23	18	34		7.18331736	0.07581914	0.88218234	1.54
323	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
324	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
325	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
326	27.5	20		0.67201408	8.38006167		1.26698903	0.707
327	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
328	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
329	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
330	24.5	15.3	34		9.81178629			2.988
331	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
332	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
333	22	16	34		3.62048097			3.225
334	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
335	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
336	18.3	16	34		2.1538272		1.26792339	0.717
337	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
338	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
339	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
340	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
341	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
342	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
343	17	16.5	34		2.47836526			2.902
344	16.8	16.3	35		4.55118337		0.80323694	2.907
345	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
346	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
347								
348	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
349	19.5	15.6	34		368.516.943		0.39649923	1.56
350	16	16.1	34		192.760.767		0.64420558	1.417
351	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
352	20.5	16.6	34		491.676.702		398.961.658	0.7
353	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
354	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
355	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
356	13.3	14.2	34		335.568.200			2.096
357								
358	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
359	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
360	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
361	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
362	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
363								
364	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
365	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
366	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
367								
368	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
369	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
370	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
371	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
372	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
373	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
374	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
